,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
debtOnAsset,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1
debtOnEbitda,1.3,1.4,1.8,2.3,2.4,2.4,2.4,2.3,2.0,3.2,3.5,3.0,4.0,3.2,3.3,2.1,1.9
shortOnLongDebt,0.3,0.4,0.8,0.7,0.5,0.4,0.6,1.7,0.3,0.3,0.4,0.6,1.0,0.4,0.5,0.2,0.2
assetOnEquity,1.6,1.9,1.7,1.7,1.7,1.7,1.8,2.0,1.8,1.7,1.9,1.6,1.7,1.7,2.0,2.0,1.5
capitalBalance,1465,-592,-573,-389,-641,-173,-453,-821,1072,1226,1159,1413,1177,1223,272,316,726
cashOnEquity,0.151,0.172,0.09,0.065,0.028,0.026,0.11,0.123,0.161,0.181,0.105,0.124,0.121,0.138,0.091,0.09,0.121
cashOnCapitalize,0.06,0.086,0.04,0.041,0.034,0.022,0.102,0.116,0.183,0.266,0.118,0.232,0.285,0.172,0.063,,
cashCirculation,-66,-143,-108,-142,-22,-37,-18,-20,-10,6,13,15,22,14,1,-5,-12
revenueOnWorkCapital,8.8,,,,6.8,5.2,6.9,7.8,9.0,8.9,8.4,8.2,7.4,7.7,7.2,8.0,6.0
capexOnFixedAsset,-0.283,-0.419,-0.186,-0.069,-0.113,-0.257,-0.358,-0.377,-0.2,-0.207,-0.236,-0.119,-0.072,-0.084,-0.136,-0.523,-0.636
revenueOnAsset,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.5,0.4
postTaxOnPreTax,0.7,0.8,0.8,0.7,1.4,1.2,1.3,1.2,1.3,1.3,1.1,1.4,4.7,1.1,1.1,4.4,1.3
ebitOnRevenue,0.29,0.27,0.216,0.181,0.206,0.202,0.15,0.176,0.179,0.104,0.075,0.071,0.066,0.099,0.078,0.116,0.11
preTaxOnEbit,2.8,1.2,1.2,1.1,1.3,4.0,1.1,0.7,0.8,2.2,1.1,0.8,0.2,1.1,2.6,0.6,2.1
payableOnEquity,0.4,0.6,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.7,0.8,0.4
ebitdaOnStockChange,0.039,0.347,0.212,-0.042,0.018,-0.225,-0.381,-0.21,0.577,0.3,-0.019,0.147,-0.378,-0.148,-0.097,0.275,-0.373
bookValuePerShareChange,0.239,0.08,0.055,0.004,-0.001,-0.073,0.228,0.016,0.043,0.205,-0.026,0.029,0.062,0.667,0.087,-0.069,2.648
